[hide=DPP OU (1630 stats)][code]Combined usage for DPP OU (1630 stats)
+ ---- + ------------------ + ------- +
| Rank | Pokemon            | Percent |
| 259  | Yanma              |  1.875% |
| 260  | Spinda             |  1.875% |
| 261  | Porygon            |  1.812% |
| 262  | Gligar             |  1.8E-% |
| 263  | Machop             |  1.787% |
| 264  | Bronzor            |  1.675% |
| 265  | Noctowl            |  1.575% |
| 266  | Togetic            |  1.525% |
| 267  | Dragonair          |  1.312% |
| 268  | Metang             |  1.262% |
| 269  | Buneary            |  1.237% |
| 270  | Girafarig          |  1.187% |
| 271  | Carnivine          |  9.875% |
| 272  | Castform           |  9.499% |
| 273  | Wormadam           |  8.125% |
| 274  | Mightyena          |  7.5E-% |
| 275  | Swalot             |  7.000% |
| 276  | Monferno           |  6.375% |
| 277  | Ditto              |  5.375% |
| 278  | Magmar             |  4.75E% |
| 279  | Vespiquen          |  4.625% |
| 280  | Pichu              |  4.5E-% |
| 281  | Bulbasaur          |  3.75E% |
| 282  | Kricketune         |  3.500% |
| 283  | Kadabra            |  3.250% |
| 284  | Roselia            |  2.875% |
| 285  | Chimecho           |  2.25E% |
| 286  | Turtwig            |  2.125% |
| 287  | Golbat             |  2.125% |
| 288  | Beautifly          |  1.875% |
| 289  | Grovyle            |  1.875% |
| 290  | Seviper            |  1.750% |
| 291  | Plusle             |  1.750% |
| 292  | Marill             |  1.5E-% |
| 293  | Taillow            |  1.375% |
| 294  | Magnemite          |  1.25E% |
| 295  | Cranidos           |  1.25E% |
| 296  | Nosepass           |  1.25E% |
| 297  | Pineco             |  1.25E% |
| 298  | Farfetch'd         |  1.0E-% |
| 299  | Starly             |  9.999% |
| 300  | Skitty             |  8.750% |
| 301  | Magby              |  8.75E% |
| 302  | Mareep             |  8.75E% |
| 303  | Drowzee            |  8.75E% |
| 304  | Barboach           |  7.5E-% |
| 305  | Chimchar           |  7.5E-% |
| 306  | Croagunk           |  7.5E-% |
| 307  | Staravia           |  7.5E-% |
| 308  | Kakuna             |  7.5E-% |
| 309  | Magikarp           |  6.25E% |
| 310  | Flaaffy            |  6.25E% |
| 311  | Wartortle          |  6.25E% |
| 312  | Ivysaur            |  6.25E% |
| 313  | Seadra             |  3.750% |
| 314  | Volbeat            |  3.750% |
| 315  | Vibrava            |  3.75E% |
| 316  | Mawile             |  3.75E% |
| 317  | Corphish           |  3.75E% |
| 318  | Cyndaquil          |  3.75E% |
| 319  | Unown              |  3.75E% |
| 320  | Loudred            |  3.75E% |
| 321  | Charmeleon         |  2.5E-% |
| 322  | Treecko            |  2.5E-% |
| 323  | Gastly             |  2.5E-% |
| 324  | Graveler           |  2.5E-% |
| 325  | Seedot             |  1.25E% |
| 326  | Meditite           |  1.25E% |
| 327  | Chingling          |  1.25E% |
| 328  | Numel              |  1.25E% |
| 329  | Cubone             |  1.25E% |
| 330  | Doduo              |  1.25E% |
| 331  | Smoochum           |  1.25E% |
| 332  | Gible              |  1.25E% |
| 333  | Minun              |  1.25E% |
| 334  | Grotle             |  1.25E% |
| 335  | Gulpin             |  1.25E% |
| 336  | Happiny            |  1.25E% |
| 337  | Kricketot          |  1.25E% |
| 338  | Swablu             |  1.25E% |
| 339  | Zubat              |  1.25E% |
| 340  | Sandshrew          |  0.000% |
| 341  | Luxio              |  0.000% |
| 342  | M                  |  0.000% |
| 343  | Seaking            |  0.000% |
| 344  | Sealeo             |  0.000% |
| 345  | Whismur            |  0.000% |
| 346  | Makuhita           |  0.000% |
| 347  | Seel               |  0.000% |
| 348  | Mankey             |  0.000% |
| 349  | Mantyke            |  0.000% |
| 350  | Abra               |  0.000% |
| 351  | Vigoroth           |  0.000% |
| 352  | Aipom              |  0.000% |
| 353  | Marshtomp          |  0.000% |
| 354  | Teddiursa          |  0.000% |
| 355  | Shelgon            |  0.000% |
| 356  | Azurill            |  0.000% |
| 357  | Shellder           |  0.000% |
| 358  | Tentacool          |  0.000% |
| 359  | Meowth             |  0.000% |
| 360  | Shellos            |  0.000% |
| 361  | Bayleef            |  0.000% |
| 362  | Shieldon           |  0.000% |
| 363  | Metapod            |  0.000% |
| 364  | Bidoof             |  0.000% |
| 365  | Bonsly             |  0.000% |
| 366  | Shinx              |  0.000% |
| 367  | Mime Jr.           |  0.000% |
| 368  | Budew              |  0.000% |
| 369  | Shroomish          |  0.000% |
| 370  | Burmy              |  0.000% |
| 371  | Togepi             |  0.000% |
| 372  | Cacnea             |  0.000% |
| 373  | Shuppet            |  0.000% |
| 374  | Mothim             |  0.000% |
| 375  | Silcoon            |  0.000% |
| 376  | Voltorb            |  0.000% |
| 377  | Wingull            |  0.000% |
| 378  | Mudkip             |  0.000% |
| 379  | Charmander         |  0.000% |
| 380  | Murkrow            |  0.000% |
| 381  | Skiploom           |  0.000% |
| 382  | Torchic            |  0.000% |
| 383  | Chinchou           |  0.000% |
| 384  | NidoranM           |  0.000% |
| 385  | Nidorina           |  0.000% |
| 386  | Skorupi            |  0.000% |
| 387  | Vulpix             |  0.000% |
| 388  | Nidorino           |  0.000% |
| 389  | Combee             |  0.000% |
| 390  | Combusken          |  0.000% |
| 391  | Nincada            |  0.000% |
| 392  | Slakoth            |  0.000% |
| 393  | Croconaw           |  0.000% |
| 394  | Nuzleaf            |  0.000% |
| 395  | Totodile           |  0.000% |
| 396  | Wailmer            |  0.000% |
| 397  | Cleffa             |  0.000% |
| 398  | Wooper             |  0.000% |
| 399  | Oddish             |  0.000% |
| 400  | Slowpoke           |  0.000% |
| 401  | Dratini            |  0.000% |
| 402  | Paras              |  0.000% |
| 403  | Slugma             |  0.000% |
| 404  | Drifloon           |  0.000% |
| 405  | Duskull            |  0.000% |
| 406  | Chikorita          |  0.000% |
| 407  | Cherubi            |  0.000% |
| 408  | Dustox             |  0.000% |
| 409  | Ekans              |  0.000% |
| 410  | Electrike          |  0.000% |
| 411  | Elekid             |  0.000% |
| 412  | Pidgeotto          |  0.000% |
| 413  | Pidgey             |  0.000% |
| 414  | Snorunt            |  0.000% |
| 415  | Feebas             |  0.000% |
| 416  | Finneon            |  0.000% |
| 417  | Piplup             |  0.000% |
| 418  | Snubbull           |  0.000% |
| 419  | Poliwhirl          |  0.000% |
| 420  | Spearow            |  0.000% |
| 421  | Ponyta             |  0.000% |
| 422  | Geodude            |  0.000% |
| 423  | Poochyena          |  0.000% |
| 424  | Spheal             |  0.000% |
| 425  | Glameow            |  0.000% |
| 426  | Spinarak           |  0.000% |
| 427  | Gloom              |  0.000% |
| 428  | Goldeen            |  0.000% |
| 429  | Prinplup           |  0.000% |
| 430  | Tyrogue            |  0.000% |
| 431  | Wormadam-Sandy     |  0.000% |
| 432  | Psyduck            |  0.000% |
| 433  | Grimer             |  0.000% |
| 434  | Pupitar            |  0.000% |
| 435  | Squirtle           |  0.000% |
| 436  | Bellsprout         |  0.000% |
| 437  | Growlithe          |  0.000% |
| 438  | Quilava            |  0.000% |
| 439  | Ralts              |  0.000% |
| 440  | Hoothoot           |  0.000% |
| 441  | Hoppip             |  0.000% |
| 442  | Horsea             |  0.000% |
| 443  | Houndour           |  0.000% |
| 444  | Baltoy             |  0.000% |
| 445  | Bagon              |  0.000% |
| 446  | Igglybuff          |  0.000% |
